route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1958,1,12,Siedliska skrzyżowanie II 05 - Trembeckiego ZTM pętla 01 -12,,3,,000000,F5F5F5
1864,1,17,Wita Stwosza / Langiewicza 02 - Lwowska szpital pętla 02 -17,,3,,CD5C5C,F5F5F5
1977,1,20,Bardowskiego 03 - Bratkowice las 01-20,,3,,800000,F5F5F5
1536,1,42,Piłsudskiego U. Marszałkowski 08 - Bł. Karoliny 09 -42,,3,,778899,282828
1849,1,15,Olbrachta pętla 09 - Zwięczycka MPWiK 05  p. Jarową-15, p. Jarową,3,,FFFFFF,282828
1828,1,18,Obr. Poczty Gdańskiej pętla 08 - Pienińska pętla 03 -18,,3,,A52A2A,F5F5F5
1482,1,22,Mrowla Otoka pętla 01 - Bardowskiego 04-22,,3,,FFE4E1,282828
1632,1,N2,Słocińska pętla 11 nż - Bł. Karoliny pętla 09-N2,,3,,B0E0E6,282828
1897,1,8,Sikorskiego MPGK 20 - Rudna Wielka zakręt 04 nż -8,,3,,8FBC8B,282828
756,1,3,Boguchwała 97 - Krakowska granica 15 -3,,3,,9ACD32,282828
2074,1,58,Hermanowa Czerwonki pętla 64 - Dworzec Lokalny p. Hermanową pętla-58,p. Hermanową pętla,3,,98FB98,282828
1917,1,8,Rudna Wielka zakręt 04 - Sikorskiego MPGK 20-8,,3,,8FBC8B,282828
1408,1,61,Łukasiewicza pętla 08 - Łukasiewicza pętla 08 -61,,3,,FFE4C4,282828
1823,1,47,Baligrodzka 01 - Dworaka targ 01 -47,,3,,6A5ACD,F5F5F5
1848,1,37,Hermanowa Przylasek pętla 05 - Trembeckiego ZTM pętla 01 -37,,3,,00BFFF,282828
2037,1,44,Tyczyn Kopernika 02 - Dworaka targ 01 -44,,3,,E6E6FA,282828
1954,1,13,Lwowska szpital pętla 02 - Wita Stwosza pętla 01 -13,,3,,DCDCDC,282828
1457,1,51,Bardowskiego 04 - Jasionka EME Aero 02 -51,,3,,FF00FF,F5F5F5
