stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
632,131S,Siedliska skrzyżowanie II 05,,49.9489555541325,21.9333404302597,,,
669,198A,Siedliska ośrodek zdrowia 08 nż,,49.9513355397634,21.941314637661,,,
670,194A,Siedliska kościół 10 nż,,49.9540519278545,21.94978505373,,,
671,192A,Siedliska Koniec 12 nż,,49.9564506438131,21.954832971096,,,
423,138A,Budziwojska pętla 22 nż,,49.9593444751742,21.9604602456093,,,
469,136A,Budziwojska sklep 17 nż,,49.96144,21.96827,,,
470,147A,Budziwojska / Poselska 15 nż,,49.96333,21.97522,,,
471,126A,Budziwojska / Kwiatowa 13 nż,,49.96649,21.97752,,,
472,54A,Budziwojska / Podleśna 11 nż,,49.96845,21.98389,,,
473,190A,Budziwojska cmentarz 09,,49.96774,21.99103,,,
474,52A,Jana Pawła II / Budziwojska 13 nż,,49.96811,21.995574,,,
475,50A,Jana Pawła II / Strzelców 11 nż,,49.9736712955787,21.9944947957993,,,
476,48A,Jana Pawła II / Herbowa 09 nż,,49.9793980700403,21.9921988248825,,,
477,130A,Jana Pawła II / Zakątkowa 07 nż,,49.9826578872001,21.9906109571457,,,
478,46A,Jana Pawła II / Św. Antoniego 05 nż,,49.98629,21.98893,,,
479,44A,Jana Pawła II / Gościnna 03 nż,,49.9913565507232,21.9876363873482,,,
480,42A,Jana Pawła II OSP 01 nż,,49.9931360992843,21.9839000701904,,,
481,40A,Kwiatkowskiego hotel 11 nż,,49.9951673252006,21.9872179627419,,,
482,38A,Kwiatkowskiego / Jachowicza 09 nż,,49.9991967613741,21.9908577203751,,,
483,36A,Kwiatkowskiego / Koło 07 nż,,50.00355,21.99473,,,
484,34A,Kwiatkowskiego żwirownia 05 nż,,50.00659,21.99992,,,
170,32A,Kwiatkowskiego / Strażacka 03 nż,,50.0132488676056,21.9998370856047,,,
171,30A,Kwiatkowskiego dom studenta 01 nż,,50.0172052642335,22.0034694671631,,,
172,28A,Powst. Warszawy / Podwisłocze 07 nż,,50.02006,22.00256,,,
732,902A,Powst. Warszawy stadion 05 nż,,50.02022,21.99646,,,
201,22A,Hetmańska stadion 07,,50.0212535332647,21.9949266314507,,,
202,20A,Hetmańska ZS. Mech. 05,,50.0244019511267,21.9951814413071,,,
203,18A,Hetmańska przychodnia 03,,50.029119883407,21.9971716403961,,,
204,16A,Hetmańska podzamcze 01 nż,,50.0311289132861,21.9987447559834,,,
287,145A,Kilara 02 nż,,50.0312305686533,22.0018708705902,,,
244,150A,Szopena Filharmonia 01 nż,,50.0328596096321,22.0051378011703,,,
245,12A,Targowa 02,,50.0372364682278,22.009933590889,,,
126,10A,Głowackiego ZUS 01,,50.039952314696,22.0107100903988,,,
