route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1958,1,226806,,,0,11906,1,
1864,1,226807,,,1,11906,2,
1977,2,223531,,,1,11709,3,
1536,2,208491,,,1,10901,4,
1849,3,226808,,,0,11905,5,
1828,2,223532,,,1,11710,6,
1482,4,219255,,,0,11467,7,
1632,5,221768,,,0,11606,8,
1897,2,208494,,,0,11189,9,
756,1,207276,,,0,10778,10,
2074,5,225312,,,0,11849,11,
1917,2,208496,,,1,10988,12,
1408,2,198216,,,1,10217,13,
1823,1,208498,,,1,10868,14,
1848,2,216193,,,0,11291,15,
2037,1,226809,,,0,11907,16,
1954,4,208499,,,0,11098,17,
1457,2,207277,,,1,10785,18,
1877,4,221769,,,1,11607,19,
1846,2,208503,,,0,11177,20,
1930,2,223533,,,1,11710,21,
1897,4,208509,,,0,11201,9,
1846,2,208510,,,0,11178,20,
1886,5,208511,,,1,11117,22,
1877,2,222221,,,1,11635,19,
760,1,208512,,,1,11245,23,
1858,6,225217,,,1,11811,24,
1631,1,208514,,,1,10861,25,
1438,1,207278,,,0,10776,26,
2037,5,225315,,,0,11846,16,
1932,1,208517,,,0,10886,27,
2050,7,225316,,,1,11821,28,
1932,2,208518,,,0,10898,27,
953,5,225317,,,1,11869,29,
1830,2,223534,,,1,11711,30,
1839,2,208519,,,1,10836,31,
1836,2,208520,,,1,10855,32,
1944,2,223535,,,0,11712,33,
1476,2,223536,,,1,11709,34,
1937,4,221770,,,1,11607,35,
2071,7,225318,,,1,11828,36,
1846,3,226811,,,0,11899,20,
1910,2,223537,,,1,11713,37,
1660,2,222223,,,1,11688,38,
1861,2,222224,,,1,11697,39,
1457,4,198234,,,1,10234,18,
1954,5,208531,,,0,11138,17,
1853,2,208315,,,1,10814,40,
1487,2,198238,,,0,10238,41,
1866,6,223538,,,0,11714,42,
1929,2,208533,,,0,11119,43,
2062,5,225320,,,1,11848,44,
1937,4,221771,,,1,11608,35,
1916,4,208534,,,1,11233,45,
1828,2,223539,,,1,11710,6,
1945,4,208536,,,0,11232,46,
1954,1,226813,,,0,11919,17,
1058,1,216198,,,1,11294,47,
1826,2,208537,,,1,11079,48,
1874,4,208538,,,0,11092,49,
1848,4,208539,,,0,10828,15,
1973,6,223540,,,0,11715,50,
1848,1,221772,,,0,11609,15,
